Location,응답자 아이디,컨셉 타입,조사 실행 날짜,서비스 일자,방문 시간,등록 번호,구매 금액,거래 번호,나이키 충성도 회원,서비스 점수,경험 코멘트,경험 관련 의견 번역,반갑게 맞이함,친근함,도움이 됨,전문 지식 제공,제품 재고,간편한 주문결제,OSAT
,
NIKE-MYEONGDONG - 2106,
NIKE-MYEONGDONG - 2106,2812324732,Partner,11/13/24,11/13/24,10:40 오전,03,,000002,,100.00,우빈,우빈,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2812330030,Partner,11/13/24,11/13/24,11:23 오전,03,,000004,,100.00,경욱,경욱,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2812332821,Partner,11/13/24,11/13/24,11:43 오전,03,,000005,,100.00,승현,승현,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2812339227,Partner,11/13/24,11/13/24,12:24 오후,03,,000009,,100.00,경진 매니저님 너무 친절하셨습니다. 내향인인데도 부담스럽지 않게 자세히 설명해 주셨어요. 여태 나이키에서 뵈었던 분 중에서 최고예요!,"Manager Kyungjin was so kind. Even though I'm an introvert, he explained everything in detail without making me feel uncomfortable. He's the best person I've ever met at Nike!",7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2812339687,Partner,11/13/24,11/13/24,12:28 오후,03,,000011,,100.00,승현,승현,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2812339698,Partner,11/13/24,11/13/24,12:27 오후,03,,000010,,100.00,승현,승현,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2812341418,Partner,11/13/24,11/13/24,12:50 오후,03,,000017,,100.00,주현,주현,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2812342501,Partner,11/13/24,11/13/24,1:04 오후,03,,000021,,100.00,승현,승현,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2812344235,Partner,11/13/24,11/13/24,1:28 오후,03,,000024,,100.00,경욱,경욱,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2812344237,Partner,11/13/24,11/13/24,1:26 오후,03,,000023,,100.00,주현,주현,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2812344761,Partner,11/13/24,11/13/24,1:37 오후,03,,000025,,100.00,손석규,손석규,7,7,7,7,7,7,7
