Location,응답자 아이디,컨셉 타입,조사 실행 날짜,서비스 일자,방문 시간,등록 번호,구매 금액,거래 번호,나이키 충성도 회원,서비스 점수,경험 코멘트,경험 관련 의견 번역,반갑게 맞이함,친근함,도움이 됨,전문 지식 제공,제품 재고,간편한 주문결제,OSAT
,
NIKE-MYEONGDONG - 2106,
NIKE-MYEONGDONG - 2106,2811924593,Partner,11/12/24,11/12/24,10:41 오전,03,,000001,,100.00,Kwang Min,Kwang Min,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2811925644,Partner,11/12/24,11/12/24,10:52 오전,03,,000002,,100.00,손석규,손석규,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2811925889,Partner,11/12/24,11/12/24,10:53 오전,03,,000003,,100.00,광민,광민,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2811928382,Partner,11/12/24,11/12/24,11:18 오전,03,,000006,,100.00,최광민,최광민,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2811930067,Partner,11/12/24,11/12/24,11:36 오전,03,,000007,,100.00,Seokgyuson,null,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2811935733,Partner,11/12/24,11/12/24,12:15 오후,03,,000013,,100.00,현수,현수,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2811935772,Partner,11/12/24,11/12/24,12:13 오후,03,,000012,,100.00,Younggyu,null,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2811937437,Partner,11/12/24,11/12/24,12:39 오후,03,,000020,,100.00,손석규,손석규,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2811937541,Partner,11/12/24,11/12/24,12:41 오후,03,,000021,,100.00,희영,희영,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2811937678,Partner,11/12/24,11/12/24,12:43 오후,03,,000022,,100.00,현수,현수,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2811937782,Partner,11/12/24,11/12/24,12:42 오후,04,,000001,,100.00,지원30,support30,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2811937819,Partner,11/12/24,11/12/24,12:44 오후,03,,000023,,100.00,손석규,손석규,7,7,7,7,7,7,7
